Std.1 Kick1 ,[88]Std 1 Kick 1,,,,,,,Std.1 Kick1 ,Elec Kick 2 ,Elec Kick 2 ,Elec.K2 ,,Elec Kick 2 ,,,[88]Std 1 Kick 1,,,,,,,,[88]Elec Kick 2,[88]Elec Kick 2,Elec Kick 2 ,[88]Elec Kick 2,[88]Elec Kick 2,[88]Elec Kick 2,[88]Elec Kick 2,,Std.1 Kick1 ,,,,,,,,[88]Std 1 Kick 1,Std.1 Kick1 ,,,,,,,[88]Std 1 Kick 1,,,,,,,,,,,,,,
Std.1 Kick2 ,[88]Std 1 Kick 2,,,,,,,Std.1 Kick2 ,Elec Kick 1 ,Elec Kick 1 ,Elec.K1 ,,Elec Kick 1 ,,,[88]Std 1 Kick 2,,,,,,,,[88]Elec Kick 1,[88]Elec Kick 1,Elec Kick 1 ,[88]Elec Kick 1,[88]Elec Kick 1,[88]Elec Kick 1,[88]Elec Kick 1,,Std.1 Kick2 ,,,,,,,,[88]Std 1 Kick 2,Std.1 Kick2 ,,,,,,,[88]Std 1 Kick 2,,,,,,,,,,,,,,
Std.2 Kick1 ,[88]Std 2 Kick 1,,,,,,,Std.2 Kick1 ,CR78 BD 1   ,CR78 BD 1   ,CR-78K1 ,,CR78 BD 1   ,,,[88]Std 2 Kick 1,,,,,,,,CR-78 Kick 1,CR-78 Kick 1,CR78 BD 1   ,CR-78 Kick 1,CR-78 Kick 1,CR-78 Kick 1,CR-78 Kick 1,,Std.2 Kick1 ,,,,,,,,[88]Std 2 Kick 1,Std.2 Kick1 ,,,,,,,[88]Std 2 Kick 1,,,,,,,,,,,,,,
Std2 Kick2  ,[88]Std 2 Kick 2,,,,,,,Std2 Kick2  ,CR78 BD 2   ,CR78 BD 2   ,CR-78K2 ,,CR78 BD 2   ,,,[88]Std 2 Kick 2,,,,,,,,CR-78 Kick 2,CR-78 Kick 2,CR78 BD 2   ,CR-78 Kick 2,CR-78 Kick 2,CR-78 Kick 2,CR-78 Kick 2,,Std2 Kick2  ,,,,,,,,[88]Std 2 Kick 2,Std2 Kick2  ,,,,,,,[88]Std 2 Kick 2,,,,,,,,,,,,,,
Kick 1      ,[55]Kick Drum 1,,,,,,,Kick 1      ,TR-606 BD1  ,TR-606 BD1  ,606 K1  ,,TR-606 BD1  ,,,[55]Kick Drum 1,,,,,,,,TR-606 Kick1,TR-606 Kick1,TR-606 BD1  ,TR-606 Kick1,TR-606 Kick1,TR-606 Kick1,TR-606 Kick1,,Kick 1      ,,,,,,,,[55]Kick Drum 1,Kick 1      ,,,,,,,[55]Kick Drum 1,,,,,,,,,,,,,,
Kick 2      ,[55]Kick Drum 2,,,,,,,Kick 2      ,TR-707 BD   ,TR-707 BD   ,707 K1  ,,TR-707 BD   ,,,[55]Kick Drum 2,,,,,,,,TR-707 Kick 1,TR-707 Kick 1,TR-707 BD   ,TR-707 Kick 1,TR-707 Kick 1,TR-707 Kick 1,TR-707 Kick 1,,Kick 2      ,,,,,,,,[55]Kick Drum 2,Kick 2      ,,,,,,,[55]Kick Drum 2,,,,,,,,,,,,,,
Jazz Kick 1 ,[88]Jazz Kick 1,,,,,,,Jazz Kick 1 ,808 Kick    ,808 Kick    ,808 BD  ,,808 Kick    ,,,[88]Jazz Kick 1,,,,,,,,[55]TR-808 Kick,[55]TR-808 Kick,808 Kick    ,[55]TR-808 Kick,[55]TR-808 Kick,[55]TR-808 Kick,[55]TR-808 Kick,,Jazz Kick 1 ,,,,,,,,[88]Jazz Kick 1,Jazz Kick 1 ,,,,,,,[88]Jazz Kick 1,,,,,,,,,,,,,,
Jazz Kick 2 ,[88]Jazz Kick 2,,,,,,,Jazz Kick 2 ,TR-808 Kick ,TR-808 Kick ,808 BD  ,,TR-808 Kick ,,,[88]Jazz Kick 2,,,,,,,,[88]TR-808 Kick,[88]TR-808 Kick,TR-808 Kick ,[88]TR-808 Kick,[88]TR-808 Kick,[88]TR-808 Kick,[88]TR-808 Kick,,Jazz Kick 2 ,,,,,,,,[88]Jazz Kick 2,Jazz Kick 2 ,,,,,,,[88]Jazz Kick 2,,,,,,,,,,,,,,
Room Kick 1 ,[88]Room Kick 1,,,,,,,Room Kick 1 ,808 BD      ,808 BD      ,808 K2  ,,808 BD      ,,,[88]Room Kick 1,,,,,,,,TR-808 Kick 2,TR-808 Kick 2,808 BD      ,TR-808 Kick 2,TR-808 Kick 2,TR-808 Kick 2,TR-808 Kick 2,,Room Kick 1 ,,,,,,,,[88]Room Kick 1,Room Kick 1 ,,,,,,,[88]Room Kick 1,,,,,,,,,,,,,,
Room Kick 2 ,[88]Room Kick 2,,,,,,,Room Kick 2 ,TR-909 Kick ,TR-909 Kick ,909 BD  ,,TR-909 Kick ,,,[88]Room Kick 2,,,,,,,,[88]TR-909 Kick,[88]TR-909 Kick,TR-909 Kick ,[88]TR-909 Kick,[88]TR-909 Kick,[88]TR-909 Kick,[88]TR-909 Kick,,Room Kick 2 ,,,,,,,,[88]Room Kick 2,Room Kick 2 ,,,,,,,[88]Room Kick 2,,,,,,,,,,,,,,
