LSB,MSB,PC,Name
001,000,001,Piano 1
001,000,002,Piano 2
001,000,003,Piano 3
001,000,004,Honky-tonk
001,000,005,E.Piano 1
001,000,006,E.Piano 2
001,000,007,Harpsichord
001,000,008,Clav.
001,000,009,Celesta
001,000,010,Glockenspl
001,000,011,Music Box
001,000,012,Vibraphone
001,000,013,Marimba
001,000,014,Xylophone
001,000,015,Tubularbell
001,000,016,Santur
001,000,017,Organ 1
001,000,018,Organ 2
001,000,019,Organ 3
001,000,020,Church Org1
001,000,021,Reed Organ
001,000,022,Accordion F
001,000,023,Harmonica
001,000,024,Bandoneon
001,000,025,Nylon Gt.
001,000,026,Steel Gt.
001,000,027,Jazz Gt.
001,000,028,Clean Gt.
001,000,029,Muted Gt.
001,000,030,OverdriveGt
001,000,031,Dist.Gt.
001,000,032,Gt.Harmonix
001,000,033,Acoustic Bs
001,000,034,Fingered Bs
001,000,035,Picked Bass
001,000,036,Fretless Bs
001,000,037,Slap Bass 1
001,000,038,Slap Bass 2
001,000,039,Syn.Bass 1
001,000,040,Syn.Bass 2
001,000,041,Violin
001,000,042,Viola
001,000,043,Cello
001,000,044,Contrabass
001,000,045,Tremolo Str
001,000,046,Pizzicato
001,000,047,Harp
001,000,048,Timpani
001,000,049,Strings
001,000,050,SlowStrings
001,000,051,SynStrings1
001,000,052,SynStrings2
001,000,053,Choir Aahs
001,000,054,Voice Oohs
001,000,055,SynVox
001,000,056,Orchest.Hit
001,000,057,Trumpet
001,000,058,Trombone
001,000,059,Tuba
001,000,060,MuteTrumpet
001,000,061,French Horn
001,000,062,Brass 1
001,000,063,Syn.Brass 1
001,000,064,Syn.Brass 2
001,000,065,Soprano Sax
001,000,066,Alto Sax
001,000,067,Tenor Sax
001,000,068,BaritoneSax
001,000,069,Oboe
001,000,070,EnglishHorn
001,000,071,Bassoon
001,000,072,Clarinet
001,000,073,Piccolo
001,000,074,Flute
001,000,075,Recorder
001,000,076,Pan Flute
001,000,077,Bottle Blow
001,000,078,Shakuhachi
001,000,079,Whistle
001,000,080,Ocarina
001,000,081,Square Wave
001,000,082,Saw Wave
001,000,083,SynCalliope
001,000,084,ChifferLead
001,000,085,Charang
001,000,086,Solo Vox
001,000,087,5th Saw
001,000,088,Bass & Lead
001,000,089,Fantasia
001,000,090,Warm Pad
001,000,091,Polysynth
001,000,092,Space Voice
001,000,093,Bowed Glass
001,000,094,Metal Pad
001,000,095,Halo Pad
001,000,096,Sweep Pad
